Company,Shortname,Link
Honeywell Autom,TH,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04
PI Industries,PII,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/piindustries/PII
United Spirits,MC08,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/unitedspirits/US
Piramal Enter,NP07,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/piramalenterprises/PH05
SRF,SRF,https://www.moneycontrol.com/india/stockpricequote/diversified/srf/SRF
Bajaj Holdings,BA,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI
Grindwell Norto,GN,https://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN
Carborundum,CU,https://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU
Wendt,WI05,https://www.moneycontrol.com/india/stockpricequote/abrasives/wendtindia/WI05
Hindustan Aeron,HAL,https://www.moneycontrol.com/india/stockpricequote/diversified/hindustanaeronauticsltd/HAL
MTAR Tech,MT14,https://www.moneycontrol.com/india/stockpricequote/aerospacedefence/mtartechnologies/MT15
Bombay Burmah,BBT,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT
Kaveri Seed,KSC01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaveriseedcompany/KSC01
Nath Bio-Genes,NBG,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/nathbiogenes/NBG
Harrisons Malay,HM02,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/harrisonsmalyalam/HM02
Dhunseri Tea,DTI03,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/dhunseriteaindustries/DTI03
Agri-Tech,ATI02,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agritechindia/ATI02
Voltas,V,https://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V
Amber Enterpris,AEI01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01
Blue Star,BS,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS
Johnson Control,AA02,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL
Interglobe Avi,IA05,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04
SpiceJet,ML04,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01
Jet Airways,JA01,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/jetairways/JA01
Global Vectra,GVH,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/globalvectrahelicorp/GVH
NALCO,NAC,https://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC
Maan Aluminium,MA03,https://www.moneycontrol.com/india/stockpricequote/aluminium/maanaluminium/MA03
Manaksia Alumin,MAC04,https://www.moneycontrol.com/india/stockpricequote/aluminium/manaksiaaluminiumcompany/MAC03
