Company,Shortname,Link 
Inventure Grow,IGS,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/inventuregrowthsecurities/IGS
Emkay Global,ESS01,https://www.moneycontrol.com/india/stockpricequote/financegeneral/emkayglobalfinancialservices/EGF
Prime Sec,PS,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/primesecurities/PS
Almondz Global,AS19,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/almondzglobalsecurities/AGS
Indbank Merchan,IMB,https://www.moneycontrol.com/india/stockpricequote/financegeneral/indbankmerchantbankingservices/IMB
DB (Int) Stock,DBI,https://www.moneycontrol.com/india/stockpricequote/financegeneral/dbinternationalstockbrokers/DBI
BLB,BLB,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/blb/BLB
Khandwala Sec,KS15,https://www.moneycontrol.com/india/stockpricequote/financegeneral/khandwalasecurities/KS15
Stampede Cap,BS11,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/stampedecapital/BS11
SBI Card,SCP03,https://www.moneycontrol.com/india/stockpricequote/sbicardspaymentservices/sbicardspaymentservices/SCP02
Chola Invest.,CIF01,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB
Power Finance,PFC02,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/powerfinancecorporation/PFC02
REC,REC02,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/rec/REC02
MAS Financial S,MFS09,https://www.moneycontrol.com/india/stockpricequote/financegeneral/masfinancialservices/MFS09
Ujjivan Financi,UFS01,https://www.moneycontrol.com/india/stockpricequote/financegeneral/ujjivanfinancialservices/UFS01
IFCI,IFC,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ifci/IFC02
Tourism Finance,TFC,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/tourismfinancecorpindia/TFC
Venkys,WH01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/venkys/V03
KRBL,KRB,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/krbl/KRB01
LT Foods,LTO,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/ltfoods/LTF
Kohinoor Foods,SO01,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/kohinoorfoods/KF15
Relaxo Footwear,RF07,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/relaxofootwears/RF07
Bata India,BI01,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01
Mirza Intl,MT03,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/mirzainternational/MI46
Khadim India,KIL06,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/khadimindialimited/KIL
Liberty Shoes,LS02,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/libertyshoes/LS02
Adani Total Gas,ADG01,https://www.moneycontrol.com/india/stockpricequote/adanitotalgas/adanitotalgas/ADG01
GAIL,GAI,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI
Gujarat Gas,GGC,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgas/GGC
IGL,IG04,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
Mahanagar Gas,MG02,https://www.moneycontrol.com/india/stockpricequote/refineries/mahanagargas/MG02
Refex Ind,RR05,https://www.moneycontrol.com/india/stockpricequote/chemicals/refexindustries/RR05
Asahi India,AIS,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01
Borosil,BGW,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/borosilrenewablesltd/BGW
La Opala RG,LOG,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/laopalarg/LOR
Borosil Ltd.,BL05,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/borosillimited/BL04
Hind Nat Glass,HNG01,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/hindusthannationalglassindustries/HNG01
Banaras Beads,BB03,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/banarasbeads/BB03
JIK Industries,JIK,https://www.moneycontrol.com/india/stockpricequote/trading/jikindustries/JIK
SBI Gold ETF,SBI15,https://www.moneycontrol.com/india/stockpricequote/sbimutualfundgoldexchangetradedscheme/sbimutualfundgoldexchangetradedscheme/SBI16
Birla Gold ETF,BSL02,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/birlasunlifegoldetf/BSL02
Invesco G-ETF,RGE,https://www.moneycontrol.com/india/stockpricequote/invescoindiagoldexchangetradedfund/invescoindiagoldexchangetradedfund/RGE
Kotak MF-GETF,KMF03,https://www.moneycontrol.com/india/stockpricequote/kotakmutualfundgoldexchangetradedfund/kotakmutualfundgoldexchangetradedfund/KMF03
HDFC Gold ETF,HDF02,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/hdfcmutualfundgoldexchangetradedfund/HDF02
UTI - Gold,UTI18,https://www.moneycontrol.com/india/stockpricequote/utigoldexchangetradedfund/utigoldexchangetradedfund/UTI18
Nippon ETF Gold,GBE,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/nipponindiaetfgoldbees/GBE
IPRU Gold ETF,ICI10,https://www.moneycontrol.com/india/stockpricequote/iciciprudentialgoldetf/iciciprudentialgoldetf/ICI10
Container Corp,CCI,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI
Mahindra Logist,ML12,https://www.moneycontrol.com/india/stockpricequote/diversified/mahindralogistics/ML04
TCI Express,TCI08,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/tciexpress/TCI08
Gateway Distri,GD01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01
Transport Corp,TCI04,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/transportcorporationindia/TCI04
VRL Logistics,VL08,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/vrllogistics/VL03
Gati,GC18,https://www.moneycontrol.com/india/stockpricequote/couriers/gati/G04
Snowman Logist,SL16,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/snowmanlogistics/SL17
Arshiya,IID,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/arshiya/AI60
Navkar Corp,NC09,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/navkarcorporation/NC02
Future Supply,FSC,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/futuresupplychainsolutions/FSC
Sical Logistics,SA05,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/sicallogistics/SL15
North Eastern,NEC01,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/northeasterncarryingcorporation/NEC01
Apollo Hospital,AHE,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE
Dr Lal PathLab,DLP01,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drlalpathlabs/DLP01
Max Healthcare,MHI,https://www.moneycontrol.com/india/stockpricequote/hospitalhealthcareservices/maxhealthcareinstitutelimited/MHI
Fortis Health,FH,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH
Metropolis,MH09,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/metropolishealthcare/MH06
Narayana Hruda,NH,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/narayanahrudayalaya/NH
Aster DM Health,ADH,https://www.moneycontrol.com/india/stockpricequote/diversified/asterdmhealthcareltd/ADH
Thyrocare Techn,TT14,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/thyrocaretechnologies/TT16
Healthcare Glob,HGE,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/healthcareglobalenterprises/HGE
Shalby ,SL17,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/shalby/SL18
Indraprastha,IMC03,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/indraprasthamedicalcorporation/IMC03
AMSL,ARTEM54291,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/artemismedicareserviceslimi/ARTEM54291
Lotus Eye Care,LEC02,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/lotuseyecarehospital/LEC01
Indian Hotels,IHC,https://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC
Westlife Dev,DIC,https://www.moneycontrol.com/india/stockpricequote/hotels/westlifedevelopment/DIC
EIH,EIH,https://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH
Chalet Hotels,CH03,https://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03
India Tourism D,ITD02,https://www.moneycontrol.com/india/stockpricequote/hotels/indiatourismdevelopmentcorporation/ITD02
Mahindra Holida,MHR,https://www.moneycontrol.com/india/stockpricequote/hotels/mahindraholidaysresortsindia/MHR
Lemon Tree Hote,LTH,https://www.moneycontrol.com/india/stockpricequote/hotels/lemontreehotelsltd/LTH
EIH Assoc Hotel,EIH01,https://www.moneycontrol.com/india/stockpricequote/hotels/eihassociatedhotels/EIH01
Taj GVK Hotels,TGV,https://www.moneycontrol.com/india/stockpricequote/hotels/tajgvkhotelsresorts/TGV
Oriental Hotels,OH,https://www.moneycontrol.com/india/stockpricequote/hotels/orientalhotels/OH
Asian Hotel (W),AHW,https://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelswest/AHW
Advani Hotels,RHI,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR
Speciality Rest,SR04,https://www.moneycontrol.com/india/stockpricequote/hotels/specialityrestaurants/SR06
Asian Hotel (E),AHE01,https://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelseast/AHE01
Royal Orchid,RO01,https://www.moneycontrol.com/india/stockpricequote/hotels/royalorchidhotels/RO01
The Byke Hosp,KS10,https://www.moneycontrol.com/india/stockpricequote/hotels/thebykehospitality/SH12
Kamat Hotels,KHI,https://www.moneycontrol.com/india/stockpricequote/hotels/kamathotelsindia/KHI
Country Club,CCI06,https://www.moneycontrol.com/india/stockpricequote/hotels/countryclubhospitalityholidays/CCI06
TGB Banquets,BBaH,https://www.moneycontrol.com/india/stockpricequote/hotels/tgbbanquetshotels/BBaH
Viceroy Hotels,PHH,https://www.moneycontrol.com/india/stockpricequote/hotels/viceroyhotels/VH04
HUL,HL,https://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU
Dabur India,DI,https://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI
Godrej Consumer,GCP,https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP
Marico,MI25,https://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13
P and G,PGI,https://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH
Colgate,CPI,https://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI
Emami,E05,https://www.moneycontrol.com/india/stockpricequote/personalcare/emami/E06
Gillette India,ISP,https://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22
Sheela Foam,SF30,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/sheelafoam/SF14
Orient Electric,ORIEN54130,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/orientelectriclimited/ORIEN54130
Jyothy Labs,JL,https://www.moneycontrol.com/india/stockpricequote/personalcare/jyothylabs/JL
Bajaj Consumer ,BC14,https://www.moneycontrol.com/india/stockpricequote/personalcare/bajajconsumercare/BC02
VIP Industries,VIP,https://www.moneycontrol.com/india/stockpricequote/vipindustries/vipindustries/VIP
Safari Ind,SII01,https://www.moneycontrol.com/india/stockpricequote/safariindustriesindia/safariindustriesindia/SII01
JHS Svendgaard,JHS01,https://www.moneycontrol.com/india/stockpricequote/personalcare/jhssvendgaardlaboratories/JHS01
HG Infra Engg,HIE,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/hginfraengineeringltd/HIE
Power Mech,PMP,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/powermechprojects/PMP
Indian Hume,IHP,https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/indianhumepipecompany/IHP
Likhitha,LIL03,https://www.moneycontrol.com/india/stockpricequote/infrastructure/likhithainfrastructure/LIL03
MEP Infra,MID,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/mepinfrastructuredevelopers/MID
Bharat Road Net,BRN,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatroadnetwork/BRN
OM Infra,OMM,https://www.moneycontrol.com/india/stockpricequote/engineering/ominfra/OMM02
Generic Eng,WPF,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/genericengineeringconstructionprojects/WPF
Mcnally Bh Engg,MBE,https://www.moneycontrol.com/india/stockpricequote/engineering/mcnallybharatengineering/MBE
ILandFS Trans,ITN,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/ilandfstransportationnetworks/ITN
Jyoti Structure,JS03,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/jyotistructures/JS03
A2Z Infra Eng,AME02,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02
JSW Steel,JVS,https://www.moneycontrol.com/india/stockpricequote/steellarge/jswsteel/JSW01
Tata Steel,TIS,https://www.moneycontrol.com/india/stockpricequote/steellarge/tatasteel/TIS
Hindalco,H,https://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
Jindal Steel,JSP,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/jindalsteelpower/JSP
NMDC,NMD01,https://www.moneycontrol.com/india/stockpricequote/miningminerals/nmdc/NMD02
APL Apollo,BT09,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09
KIOCL,KIO,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/kiocl/KIO
Tata Steel BSL ,BSS,https://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/tatasteelbsllimited/BS14
Jindal Stainles,JS07,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/jindalstainless/JSL01
Tata Steel Long,TSI,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/tatasteellongproducts/TSI
Jindal (Hisar),JSH,https://www.moneycontrol.com/india/stockpricequote/steellarge/jindalstainlesshisar/JSH
Mishra Dhatu Ni,MDN,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mishradhatunigamltd/MDN
Godawari Power,GPI7,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/godawaripowerispat/GPI7
Tata Metaliks,TM,https://www.moneycontrol.com/india/stockpricequote/steelpigiron/tatametaliks/TM
Jindal Saw,SP09,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/jindalsaw/JS08
Mah Seamless,MS02,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/maharashtraseamless/MS02
Tinplate,TCI02,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/tinplatecompanyindia/TCI02
Mukand,M02,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/mukand/M02
Sarda Energy,RAS,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/sardaenergyminerals/SEM
Kalyani Steels,KS01,https://www.moneycontrol.com/india/stockpricequote/steelrolling/kalyanisteels/KS01
JSW Ispat Speci,MI16,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/monnetispat/MI16
Jai Corp,JC01,https://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/jaicorp/JC08
Orissa Minerals,OMD,https://www.moneycontrol.com/india/stockpricequote/miningminerals/orissamineralsdevelopmentcompany/OMD
Prakash Ind,PI18,https://www.moneycontrol.com/india/stockpricequote/diversified/prakashindustries/PI18
Gallantt Ispat,GI23,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/gallanttispat/GI
Sunflag Iron,SIS05,https://www.moneycontrol.com/india/stockpricequote/steelrolling/sunflagironsteelcompany/SIS05
Usha Martin,UB01,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/ushamartin/UM01
Technocraft Ind,TII01,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/technocraftindustriesindia/TII01
Shankara Buildi,SBP02,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/shankarabuildingproducts/SBP02
Jayaswal Neco,JN02,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/jayaswalnecoindustries/JNI02
Vardhman Steels,VSS01,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/vardhmanspecialsteels/VSS01
Nelcast,N06,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/nelcast/N06
Steel Exchange ,SEI02,https://www.moneycontrol.com/india/stockpricequote/steellarge/steelexchangeindia/SEI02
MSP Steel,MSP,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/mspsteelpower/MSP
Gallantt Metal,GM02,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/gallanttmetal/GM02
Kamdhenu,KI24,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/kamdhenu/KI24
Pennar Inds,PS04,https://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/pennarindustries/PI28
Good Luck,GLS,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/goodluckindia/GLS
Manaksia Steels,MS24,https://www.moneycontrol.com/india/stockpricequote/steellarge/manaksiasteels/MS27
ISMT,ISS,https://www.moneycontrol.com/india/stockpricequote/steelrolling/ismt/ISM01
Electrotherm,EI02,https://www.moneycontrol.com/india/stockpricequote/engineering/electrothermindia/EI02
Mahamaya Steel,RS03,https://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/mahamayasteelindustries/MSI11
Adhunik Ind,AI61,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/adhunikindustries/AI67
Uttam Galva,US01,https://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/uttamgalvasteel/UGS01
Manaksia Coated,MCM02,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/manaksiacoatedmetalsindustries/MCM02
Bedmutha Ind,BI20,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/bedmuthaindustries/BI05
Visa Steel,VS15,https://www.moneycontrol.com/india/stockpricequote/steellarge/visasteel/VS15
Hisar Metal,HM05,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/hisarmetal/HM05
SAL Steel,SAL03,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/salsteel/SAL03
Gyscoal Alloys,GA07,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/gyscoalalloys/GA01
Kridhan Infra,RSI02,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kridhaninfra/RSI02
Vaswani Ind,VI17,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/vaswaniindustries/VI14
OCL Iron,OCL03,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/oclironsteel/OCL03
Rohit Ferro Tec,RFT,https://www.moneycontrol.com/india/stockpricequote/miningminerals/rohitferrotech/RFT
Oil Country,OCT,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/oilcountrytubular/OCT
Shah Alloys,SA03,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/shahalloys/SA03
National Steel,NSI,https://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/nationalsteelagroindustries/NSA02
Satvahana Ispat,SI07,https://www.moneycontrol.com/india/stockpricequote/steelpigiron/sathavahanaispat/SI07
Prakash Steelag,PS16,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/prakashsteelage/PS16
Ankit Metal,AMa,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/ankitmetalpower/AMa
Zenith SP&I,Z,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/zenithsteelpipesindustries/ZBI
Splendid Metal,SS28,https://www.moneycontrol.com/india/stockpricequote/steelrolling/splendidmetalproduct/SMP01
Ramsarup Ind,RI36,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/ramsarupindustries/RI36
NIIT,NII,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/niit/NII
Aptech,AT14,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/aptech/A11
Educomp Sol,ES8,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/educompsolutions/ES8
Smartlink Net,DLI,https://www.moneycontrol.com/india/stockpricequote/computershardware/smartlinkholdings/SNS01
TCS,TCS,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataconsultancyservices/TCS
Infosys,IT,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT
HCL Tech,HCL02,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02
Wipro,W,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W
Tech Mahindra,TM4,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/techmahindra/TM4
L&T Infotech,LI09,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/larsentoubroinfotech/LI12
Mindtree,MC20,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/mindtree/MT13
MphasiS,BFL,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/mphasis/MB02
Oracle Fin Serv,S11,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/oraclefinancialservicessoftware/OFS01
COFORGE LTD.,NII02,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/coforgelimited/NII02
Persistent,PS15,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/persistentsystems/PS15
Affle India,AI72,https://www.moneycontrol.com/india/stockpricequote/affleindia/affleindia/AI82
Happiest Minds ,HMT01,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/happiestmindstechnologiesltd/HMT01
Intellect Desig,IDA,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/intellectdesignarena/IDA
Route,RML02,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/routemobileltd/RML02
Cyient,IE07,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07
Birlasoft,KPI01,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/birlasoft/KPI02
Sonata,SS42,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/sonatasoftware/SS42
Zensar Tech,FIC,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/zensartechnologies/ZT02
KPIT Tech,KPITT54265,https://www.moneycontrol.com/india/stockpricequote/kpittechnologies/kpittechnologies/KPITT54265
Mastek,M,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/mastek/M
Sasken Tech,SCT01,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/saskentechnologies/SCT01
R Systems Intl,RSI01,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/rsystemsinternational/RSI01
Quick Heal Tech,QHT,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/quickhealtechnologies/QHT
3i Infotech,I11,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/3iinfotech/I11
RPSG VENTURES,CESCV54233,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/rpsgventures/CESCV54233
Xchanging Sol,SSC06,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/xchangingsolutions/CS20
Datamatics Glob,DTL,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/datamaticsglobalservices/DGS01
Kellton Tech,VMF,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kelltontechsolutions/VMF
Zen Tech,ZT01,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/zentechnologies/ZT01
Expleo Solution,TGS01,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/expleosolutions/TGS01
Cybertech,CSS,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/cybertechsystemssoftware/CSS
Genesys Int,GIC10,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/genesysinternationalcorporation/GIC10
Securekloud Tec,RCL02,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/8kmilessoftwareservices/PMS01
Allied Digital,ADS01,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/allieddigitalservices/ADS01
AXISCADES Techn,ITT01,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/axiscadestechnologies/AXI
Inspirisys Solu,AF29,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelfrontline/AF29
Trigyn Tech,LES,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/trigyntechnologies/TT08
Majesco,M12,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/majesco/M19
Onward Tech,OT,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/onwardtechnologies/OT
Palred Tech,FS05,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/palredtechnologies/FS05
FCS Software,FCS,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/fcssoftwaresolutions/FCS
IZMO,LM02,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/izmo/LM02
Dynacons Sys,DSS01,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/dynaconssystemssolutions/DSS01
Visesh Infotech,VI14,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/viseshinfotechnics/VI15
Rolta,RI15,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/roltaindia/RI15
Kernex Micro,KMI,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kernexmicrosystemsindia/KMI
Cambridge Tech,CTE,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/cambridgetechnologyenterprises/CTE
Pressman Advt,PL05,https://www.moneycontrol.com/india/stockpricequote/pressmanadvertising/pressmanadvertising/NF07
Tera Software,TS14,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/terasoftware/TS14
Megasoft,M08,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/megasoft/M08
Sphere Global,CC22,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/adroitinfotechlimited/CC22
Goldstone Tech,GE02,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/goldstonetechnologies/GT04
Usha Martin Edu,UMI02,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/ushamartineducationsolutions/UMI02
Bartronics,BI21,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bartronicsindia/BI21
Quintegra Solut,SS44,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/quintegrasolutions/QS01
Bharatiya Glob,BGI01,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/bharatiyaglobalinfomedia/BGI03
Syngene Intl,SI62,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/syngeneinternational/SI10
Jubilant Ingrev,JI12,https://www.moneycontrol.com/india/stockpricequote/labslifesciencesservices/jubilantingrevia/JI14
Vimta Labs,VL04,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/vimtalabs/VL04
Greenlam Ind,GI28,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/greenlamindustries/GI31
Sreeleathers,S18,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/sreeleathers/S20
Bhartiya Inter,BI06,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/bhartiyainternational/BI06
Superhouse,SL,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/superhouse/SL
HDFC Life,HSL01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hdfclifeinsurancecompanylimited/HSL01
